Evento,KE,px,py,pz,x,y,z
494,5.18009e+06,-0.288997,0.231863,0.928827,-148.779,117.864,477,
503,0.0938874,0.0766627,0.389535,-0.917816,-24.8348,75.4348,-477,
507,0.0737016,-0.65388,-0.279995,-0.702883,-477,-279.84,-349.549,
509,4.26358e+06,-0.311833,-0.235632,-0.920455,-207.466,66.2604,-477,
511,0.0200441,0.63356,0.0130721,0.773583,-210.613,146.893,477,
519,3.75482e+06,0.795834,-0.409262,-0.446265,477,-246.57,-265.584,
521,1.97311e+06,-0.982037,0.179358,0.0586005,-477,-282.697,-61.7223,
524,3.76734e+06,-0.855666,-0.130148,-0.500896,-477,9.83138,-290.187,
526,250913,0.301864,-0.239059,-0.922892,-60.3611,-101.149,-477,
530,0.00518594,-0.496733,-0.166449,-0.851793,-368.39,407.001,-477,
537,0.0368003,0.737082,-0.672973,0.0617815,477,-73.6811,-69.8848,
538,1.59668e+06,-0.500603,-0.856729,0.124145,-56.8569,-477,-26.5292,
542,0.0193136,-0.508337,-0.68723,-0.518949,72.3625,-477,-145.585,
545,0.0737031,0.353235,-0.661302,0.661744,477,-339.457,-209.292,
546,0.0956863,0.184498,0.662063,0.726383,-157.802,251.456,477,
550,0.0510761,-0.399318,-0.715135,-0.573696,-477,256.106,-10.009,
553,0.0357262,0.482586,0.842711,-0.238639,-176.796,477,-117.097,
558,7.06079e+06,-0.213815,-0.0328297,0.976322,-94.6207,-11.102,477,
559,226.252,-0.577261,-0.557291,0.596822,199.03,-337.08,477,
564,0.127653,-0.344026,0.702871,0.62259,-93.9146,477,-103.685,
569,978.128,-0.250289,-0.804877,-0.538079,82.8744,32.1697,-477,
570,3.32304e+06,-0.105277,-0.718718,0.687286,199.742,-477,302.535,
571,5.20947e+06,0.30243,-0.906397,-0.294925,156.912,-477,-153.758,
572,1.96973e+06,0.630874,-0.463444,0.622269,226.634,-477,-33.3295,
578,0.0641778,-0.768354,0.354738,-0.532723,-477,97.2312,-188.095,
580,0.0457297,0.607023,-0.663169,-0.43787,-368.343,320.22,-477,
583,1.26582e+06,0.137829,-0.0508431,0.98915,-151.598,-137.237,477,
584,325.299,-0.83512,-0.530811,0.144268,-477,-21.0599,-339.199,
585,952951,0.303517,-0.469844,-0.828929,477,-153.135,24.7145,
587,16.4656,-0.0169195,0.986339,-0.163855,27.3822,477,185.585,
592,3.28832e+06,-0.96852,0.157814,0.192518,-477,86.2559,41.6537,
594,0.0431487,0.530527,0.109141,0.840613,-186.945,-310.538,477,
595,0.0439744,0.352832,-0.650112,0.672952,48.1815,-477,-380.884,
603,6.55155e+06,-0.0589469,-0.73971,0.670339,-37.3526,-477,434.228,
