Event,KE_e,x,y,z
76983,1.8139e-08,14.4359,-15.291,215
77783,1.0513e-07,54.4325,-12.6344,215
77807,4.4956e-09,-21.3141,-7.43123,215
78334,6.29678e-08,7.09238,12.2282,215
78448,1.78856e-08,0.665218,-19.697,215
78533,3.25092e-08,17.1779,-82.1668,215
78825,1.01408e-07,2.2419,-6.20837,215
79002,2.71414e-07,18.2385,-14.3589,215
79016,5.36586e-08,24.0164,-14.5279,215
79810,8.96689e-08,-23.2248,105.289,215
80202,0.00711416,-23.8352,30.2384,215
80781,5.62871e-06,3.86684,5.60991,215
81042,4.07978e-08,-1.69034,-43.1457,215
81367,4.49062e-08,-5.6252,10.9352,215
81724,3.18103e-08,16.9747,26.1938,215
82617,8.15221e-08,-11.1716,23.5602,215
82943,4.09988e-08,27.1544,-23.1271,215
83589,5.0689e-08,-6.61647,-2.3757,215
84003,9.41798e-08,51.6552,40.7404,215
84132,3.57667e-09,23.6472,0.431514,215
84286,2.73622e-08,3.64586,-2.17277,215
85873,3.77184e-08,0.400553,-35.4912,215
85949,2.61495e-08,12.6938,-9.88539,215
86827,9.78626e-08,11.163,-10.7862,215
88640,0.275389,15.4488,9.24807,215
88982,0.00624619,-49.5573,68.0231,215
89135,7.74107e-08,-9.39602,-13.4373,215
89164,1.10037e-08,-23.811,-22.309,215
89182,4.27517e-08,25.2744,-31.0814,215
89344,2.85924e-08,4.63718,-26.6198,215
89539,2.19949e-08,-6.10001,-10.2858,215
89837,1.05276e-07,-100.477,76.0061,215
90105,9.14508e-09,-11.5835,22.6113,215
90113,1.45035e-08,68.3809,57.794,215
90132,4.21439e-08,-11.2796,-22.1395,215
90190,5.24656e-07,-13.3534,-13.2711,215
90205,5.81109e-08,-14.6598,12.9307,215
90432,0.51761,119.851,79.1905,215
90690,2.47128e-08,9.33246,16.9898,215
90798,1.0659e-07,7.15675,-18.7809,215
91191,6.48416e-08,33.504,-36.6426,215
91469,5.66898e-09,-9.38702,22.2485,215
92639,8.53771e-08,-13.4154,-25.0609,215
93375,5.94837e-08,4.93005,2.7576,215
93728,9.37253e-08,-19.5552,10.1036,215
93814,1.30346e-08,5.9352,20.7589,215
94201,8.77649e-08,-14.5054,-27.809,215
94389,3.14944e-08,4.53521,-5.23984,215
94514,3.2522e-08,-32.306,-37.1439,215
95575,2.31672,-9.70061,-9.88168,215
95594,4.47509e-08,-8.11039,3.80871,215
96340,1.559e-08,10.7417,2.5758,215
96851,1.31943e-08,0.167721,-5.68803,215
96920,5.6249e-08,-11.9922,-15.4152,215
97004,6.21314e-08,2.51444,-10.7614,215
97017,6.39122e-08,-100.034,87.0969,215
97396,1.56246e-08,19.5552,-13.5949,215
97946,1.188e-08,-0.484742,29.5262,215
98018,6.4429e-08,20.5151,20.0544,215
98073,1.95963e-08,-59.2365,25.6764,215
98223,3.96019e-08,66.9998,-8.61756,215
98250,2.72166e-08,-35.6866,76.9078,215
98564,6.22518e-08,9.66938,19.2312,215
