Energy,XS
90102.3,0.00714007
90105.2,0.00602893
90108.9,0.00504895
90113.3,0.0042106
90118.4,0.00350429
90124.6,0.00289305
90132.4,0.00234904
90141.6,0.00190315
90150.9,0.00159038
90162.4,0.00131644
90173.8,0.00112203
90187.6,9.54134E-4
90206.1,7.99322E-4
90224.6,6.9351E-4
90249.2,5.98711E-4
90279.8,5.20713E-4
90328.9,4.46077E-4
90373.2,4.04798E-4
90417.6,3.7761E-4
90506.2,3.43996E-4
90594.9,3.24017E-4
90860.9,2.93798E-4
91304.3,2.69188E-4
91659.0,2.59374E-4
91860.4,2.6671E-4
91912.2,2.79694E-4
91946.8,2.97792E-4
91969.8,3.23464E-4
91986.3,3.55617E-4
91998.9,3.97281E-4
92009.0,4.51956E-4
92016.5,5.17082E-4
92022.5,5.99386E-4
92026.4,6.8723E-4
92029.3,7.98286E-4
92031.3,9.17394E-4
92033.0,0.00107443
92034.4,0.0012708
92035.9,0.00155242
92037.2,0.00192796
92038.5,0.00239051
92039.7,0.00301417
92040.9,0.00384965
92042.1,0.00495989
92043.3,0.00642148
92044.6,0.00832571
92045.8,0.0107789
92047.0,0.0140122
92048.4,0.0183834
92049.9,0.0248047
92051.4,0.0330227
92053.1,0.0444649
92055.1,0.0616285
92057.2,0.0848147
92060.1,0.123752
92068.0,0.24784
92071.2,0.283675
92074.3,0.299706
92074.9,0.300093
92078.1,0.288058
92081.5,0.251972
92087.6,0.155512
92091.1,0.103279
92093.5,0.0742756
92095.6,0.0531982
92097.5,0.0389372
92099.0,0.029508
92100.6,0.0217161
92102.0,0.0165128
92103.3,0.0124502
92104.7,0.00932912
92106.0,0.00708207
92107.2,0.00546521
92108.5,0.00423222
92109.7,0.00330108
92110.9,0.00260394
92112.1,0.00208566
92113.3,0.00170237
92114.5,0.0014197
92115.9,0.00118908
92117.7,9.85276E-4
92119.7,8.36051E-4
92122.3,7.20656E-4
92125.4,6.35408E-4
92130.4,5.48809E-4
92137.1,4.7844E-4
92145.5,4.20596E-4
92153.9,3.82076E-4
92170.8,3.35163E-4
92187.6,3.08094E-4
92221.3,2.80274E-4
92266.2,2.62546E-4
92374.0,2.47931E-4
92526.0,2.42715E-4
92781.4,2.53355E-4
92897.5,2.74551E-4
92967.1,3.02742E-4
93025.2,3.4728E-4
93060.0,3.94347E-4
93090.5,4.60148E-4
93112.3,5.30557E-4
93132.3,6.27626E-4
93148.1,7.39714E-4
93161.3,8.71824E-4
93173.4,0.00104373
93184.4,0.00126772
93193.9,0.00154226
93201.8,0.00186476
93208.9,0.0022716
93214.8,0.00274496
93219.9,0.0033154
93223.9,0.0039234
93227.0,0.00459563
93229.8,0.00542744
93232.1,0.00646252
93234.2,0.00778645
93236.0,0.00942141
93237.5,0.0113127
93239.0,0.01409
93240.5,0.0176829
93242.0,0.0225847
93243.5,0.0292367
93245.0,0.0381852
93246.3,0.0491897
93247.7,0.0633895
93249.3,0.0844209
93250.9,0.111641
93252.5,0.148599
93254.3,0.198112
93256.4,0.270815
93258.9,0.383962
93262.5,0.577597
93269.1,0.965434
93272.5,1.10332
93275.7,1.15344
93275.9,1.1536
93279.1,1.10884
93282.4,0.981096
93287.7,0.672495
93291.9,0.433943
93294.6,0.305027
93296.6,0.227258
93298.5,0.16789
93300.3,0.12371
93301.9,0.0938761
93303.5,0.0706541
93304.9,0.0548735
93306.4,0.0418137
93307.8,0.0319549
93309.3,0.0246002
93310.8,0.0191653
93312.3,0.0151761
93313.8,0.0122561
93315.2,0.0101157
93317.0,0.00827347
93319.1,0.00679416
93321.4,0.00565253
93324.0,0.00480421
93327.2,0.00407158
93331.1,0.00342149
93335.8,0.00285916
93341.7,0.00235267
93348.6,0.00193118
93357.1,0.00156706
93366.8,0.00127873
93376.3,0.00107724
93389.2,8.83644E-4
93404.7,7.27053E-4
93422.5,6.04701E-4
93440.1,5.21031E-4
93465.2,4.41072E-4
93501.4,3.68993E-4
93543.7,3.18299E-4
93591.9,2.83338E-4
93656.2,2.55367E-4
93768.8,2.28877E-4
93913.6,2.11621E-4
94170.9,1.96064E-4
94663.8,1.81478E-4
95488.3,1.68596E-4
95606.0,1.68063E-4
95871.0,1.71721E-4
96018.3,1.80474E-4
96106.6,1.90535E-4
96194.9,2.11816E-4
96261.2,2.43643E-4
96304.3,2.81275E-4
96336.0,3.25238E-4
96362.3,3.82677E-4
96382.9,4.50072E-4
96401.3,5.38625E-4
96416.6,6.46636E-4
96429.3,7.73701E-4
96440.1,9.26237E-4
96450.6,0.00113508
96459.4,0.00138716
96467.5,0.0017184
96473.8,0.00208262
96479.3,0.00251456
96484.5,0.00310691
96488.1,0.00368835
96491.0,0.00433242
96493.6,0.00514949
96496.1,0.00629127
96498.3,0.00775458
96500.2,0.00954398
96502.0,0.0119214
96503.6,0.0147497
96505.2,0.0185134
96506.8,0.0234922
96508.4,0.0300198
96510.1,0.0395839
96511.9,0.052488
96513.7,0.0691629
96515.6,0.0913799
96517.8,0.123326
96520.5,0.17457
96524.3,0.261412
96530.9,0.420868
96534.4,0.480313
96537.7,0.501364
96537.9,0.501408
96541.1,0.483629
96544.4,0.431236
96549.7,0.304973
96554.4,0.19221
96557.1,0.139162
96559.6,0.100001
96561.5,0.0750367
96563.5,0.055541
96565.3,0.0419287
96566.9,0.0327111
96568.5,0.0255634
96570.1,0.0200896
96571.6,0.0159403
96573.4,0.0125882
96575.0,0.0102456
96576.9,0.00825603
96578.8,0.0068321
96580.7,0.00579625
96583.4,0.00475347
96586.3,0.00398915
96589.9,0.00332085
96594.6,0.00271652
96600.0,0.00222739
96606.3,0.00182203
96613.5,0.00149239
96622.3,0.00120836
96632.3,9.86319E-4
96643.6,8.08802E-4
96655.7,6.75587E-4
96669.8,5.65557E-4
96686.2,4.7566E-4
96704.4,4.05825E-4
96727.0,3.46084E-4
96754.1,2.97724E-4
96785.1,2.60871E-4
96829.1,2.27805E-4
96873.0,2.05827E-4
96939.0,1.85255E-4
97027.0,1.69381E-4
97114.9,1.59698E-4
97290.9,1.48522E-4
97466.8,1.42013E-4
97894.8,1.32717E-4
99178.6,1.17768E-4
100355.0,1.11562E-4
101003.0,1.18265E-4
101199.0,1.27235E-4
101340.0,1.40163E-4
101445.0,1.5779E-4
101530.0,1.81871E-4
101593.0,2.1136E-4
101645.0,2.49764E-4
101688.0,2.96475E-4
101724.0,3.57502E-4
101756.0,4.35018E-4
101783.0,5.31096E-4
101804.0,6.4182E-4
101824.0,7.81842E-4
101842.0,9.72815E-4
101858.0,0.00120848
101872.0,0.00150845
101883.0,0.00185179
101894.0,0.00229511
101903.0,0.0028226
101911.0,0.00352031
101919.0,0.00438601
101925.0,0.00539987
101930.0,0.00660606
101935.0,0.00811687
101939.0,0.00999919
101942.0,0.0121747
101946.0,0.0151955
101949.0,0.0189805
101952.0,0.0242037
101955.0,0.0311651
101958.0,0.0405203
101962.0,0.0539443
101966.0,0.0736282
101971.0,0.10852
101978.0,0.158053
101982.0,0.173748
101986.0,0.181126
101990.0,0.174434
101994.0,0.153583
102006.0,0.0761996
102010.0,0.0555685
102013.0,0.0416052
102016.0,0.0317526
102020.0,0.0245539
102022.0,0.019616
102025.0,0.0159448
102029.0,0.0127083
102032.0,0.01039
102037.0,0.00839682
102041.0,0.0069077
102046.0,0.00561821
102053.0,0.00449246
102060.0,0.00359623
102067.0,0.00295388
102076.0,0.00238988
102087.0,0.00192272
102098.0,0.00155746
102111.0,0.00127632
102126.0,0.00102605
102144.0,8.26612E-4
102164.0,6.67427E-4
102185.0,5.48859E-4
102209.0,4.57827E-4
102238.0,3.78063E-4
102271.0,3.13817E-4
102313.0,2.60852E-4
102355.0,2.24041E-4
102407.0,1.92583E-4
102474.0,1.66386E-4
102569.0,1.43189E-4
102681.0,1.26779E-4
102815.0,1.15008E-4
103025.0,1.04331E-4
103374.0,9.53233E-5
103667.0,9.10617E-5
104399.0,8.58062E-5
104545.0,8.53423E-5
104985.0,8.7612E-5
105168.0,9.31622E-5
105277.0,1.01157E-4
105360.0,1.13425E-4
105414.0,1.28286E-4
105453.0,1.46115E-4
105486.0,1.69953E-4
105514.0,2.01886E-4
105536.0,2.38538E-4
105554.0,2.8524E-4
105569.0,3.4061E-4
105582.0,4.0795E-4
105595.0,5.00253E-4
105605.0,6.09996E-4
105614.0,7.45735E-4
105621.0,9.00103E-4
105628.0,0.00111871
105633.0,0.00134982
105638.0,0.00162237
105642.0,0.00194166
105644.0,0.00228665
105647.0,0.00276067
105648.0,0.00325317
105650.0,0.00394726
105652.0,0.00494143
105653.0,0.00620842
105655.0,0.00774762
105656.0,0.00992966
105657.0,0.0128765
105659.0,0.016829
105660.0,0.0220733
105662.0,0.0283925
105663.0,0.0371343
105665.0,0.0483032
105666.0,0.0646318
105668.0,0.0873903
105670.0,0.118124
105672.0,0.164277
105675.0,0.228469
105678.0,0.331204
105685.0,0.595881
105689.0,0.687127
105692.0,0.730706
105693.0,0.732676
105696.0,0.703499
