Energy,XS
196756.0,1.61575
196808.0,1.55081
197060.0,1.51249
197977.0,1.54145
198464.0,1.44566
198493.0,1.48082
198503.0,1.57466
198509.0,1.69215
198514.0,1.9065
198519.0,2.25775
198524.0,2.76019
198532.0,3.74047
198541.0,5.01428
198547.0,5.5332
198550.0,5.62296
198556.0,5.41486
198561.0,4.86727
198575.0,3.01269
198580.0,2.44748
198586.0,2.04299
198592.0,1.78162
198599.0,1.61892
198607.0,1.53749
198624.0,1.47843
198712.0,1.41256
199000.0,1.33879
200000.0,1.36547
207916.0,0.973133
209753.0,0.874425
211674.0,0.725427
215420.0,0.389642
216381.0,0.301389
216861.0,0.271723
217000.0,0.266941
217269.0,0.246489
217413.0,0.242853
217605.0,0.250026
217750.0,0.267422
217894.0,0.298691
218008.0,0.330989
218023.0,0.331428
218062.0,0.330701
218206.0,0.344253
218326.0,0.380501
218422.0,0.429457
218518.0,0.500482
218626.0,0.612957
218722.0,0.74703
218818.0,0.920378
218914.0,1.14072
219082.0,1.62521
219205.0,2.08532
219339.0,2.76074
219474.0,3.63441
219644.0,5.03671
220053.0,9.16482
220231.0,10.865
220396.0,11.7784
220550.0,12.0403
220780.0,11.6765
221046.0,10.6764
221568.0,7.96535
221952.0,6.4738
222336.0,5.43128
222817.0,4.48807
223297.0,3.84299
224000.0,3.21547
224834.0,2.74606
225987.0,2.33599
227283.0,1.99032
227559.0,1.94173
227584.0,1.98532
227596.0,2.13297
227606.0,2.41057
227623.0,3.02386
227630.0,3.11486
227639.0,2.98776
227659.0,2.28463
227666.0,2.12176
227675.0,2.00469
227696.0,1.93648
228507.0,1.79665
230737.0,1.55441
235353.0,1.20409
241449.0,0.883582
242057.0,0.858313
242656.0,0.793622
242722.0,0.792202
242885.0,0.815552
242946.0,0.851482
242994.0,0.911729
243028.0,0.99663
243057.0,1.12937
243076.0,1.26986
243091.0,1.45215
243106.0,1.723
243117.0,2.06114
243127.0,2.49407
243135.0,3.06181
243142.0,3.6958
243148.0,4.54071
243155.0,5.87719
243164.0,7.91218
243183.0,13.1756
243191.0,14.7057
243197.0,15.1221
243203.0,14.7424
243211.0,13.3369
243233.0,7.1316
243241.0,5.40662
243247.0,4.30103
243254.0,3.48154
243261.0,2.88496
243269.0,2.36174
243278.0,1.99431
243288.0,1.68978
243302.0,1.43307
243319.0,1.23034
243341.0,1.06828
243370.0,0.950864
243417.0,0.847696
243478.0,0.783719
243606.0,0.726883
243881.0,0.684119
245106.0,0.600352
246000.0,0.481498
246208.0,0.48013
246383.0,0.485947
246414.0,0.499
246427.0,0.522618
246433.0,0.553972
246439.0,0.609078
246443.0,0.678662
246448.0,0.805572
246452.0,0.966145
246457.0,1.21283
246463.0,1.62967
246477.0,2.83139
246483.0,3.2069
246488.0,3.30157
246493.0,3.20334
246499.0,2.85439
246515.0,1.55804
246520.0,1.22149
246525.0,0.967351
246529.0,0.815235
246534.0,0.691423
246539.0,0.613027
246545.0,0.565248
246552.0,0.532908
246566.0,0.508971
246596.0,0.494688
246809.0,0.480402
247033.0,0.474175
248075.0,0.365998
249105.0,0.298352
249778.0,0.275997
250323.0,0.268939
250689.0,0.278158
251198.0,0.31872
251482.0,0.360832
251719.0,0.420357
251965.0,0.512513
252239.0,0.616462
252476.0,0.754992
252665.0,0.909017
252855.0,1.11161
253091.0,1.39691
253262.0,1.59934
253489.0,1.98268
253716.0,2.49885
253981.0,3.28185
254322.0,4.63594
255071.0,7.95701
255343.0,9.43822
255372.0,9.98989
255384.0,10.8009
255397.0,12.477
255416.0,15.9916
255425.0,16.5999
255434.0,16.0545
255460.0,11.7133
255468.0,10.8482
255480.0,10.2657
255506.0,10.01
255514.0,10.0032
256000.0,10.8326
256622.0,10.1065
257100.0,9.14299
257794.0,7.25093
257929.0,7.0808
258000.0,7.18708
258045.0,7.51384
258084.0,8.18649
258109.0,9.03376
258129.0,10.2283
258147.0,11.9719
258162.0,14.2709
258182.0,18.5855
258199.0,22.5886
258211.0,24.154
258217.0,24.3432
258228.0,23.6021
258244.0,20.6693
258269.0,14.8438
258286.0,12.179
258304.0,10.3872
258324.0,9.12706
258353.0,8.06477
258383.0,7.47887
258437.0,6.92112
258543.0,6.45369
258826.0,6.02244
260111.0,4.69556
261131.0,3.94895
262828.0,3.13154
266401.0,1.95232
267359.0,1.49432
267633.0,1.28856
267843.0,1.05533
267982.0,0.847099
268055.0,0.686131
268239.0,0.215503
268278.0,0.130745
268301.0,0.0868066
268318.0,0.0604112
268331.0,0.0452008
268341.0,0.0354516
268349.0,0.0304269
268355.0,0.0277759
268362.0,0.0266966
268363.0,0.0266793
268370.0,0.0276577
268377.0,0.0308128
268384.0,0.03635
268391.0,0.045136
268399.0,0.057185
268407.0,0.0750382
268417.0,0.10079
268427.0,0.135914
268438.0,0.186066
268450.0,0.256838
268464.0,0.355784
268479.0,0.493048
268495.0,0.682065
268512.0,0.932131
268530.0,1.26973
268550.0,1.73377
268574.0,2.43456
268602.0,3.43669
268644.0,5.32651
268704.0,8.04153
268744.0,9.28756
268772.0,9.7655
268800.0,9.932
268852.0,9.66608
269043.0,7.23799
269165.0,6.1495
269305.0,5.32429
269479.0,4.66234
269724.0,4.09746
270153.0,3.54509
270712.0,3.13231
271570.0,2.78153
272708.0,2.53361
274178.0,2.39938
274829.0,2.46195
275031.0,2.52438
275063.0,2.52225
275248.0,2.60122
275355.0,2.80118
275417.0,3.04666
275470.0,3.39602
275511.0,3.8445
275548.0,4.44919
275579.0,5.22879
275609.0,6.33159
275635.0,7.71677
275660.0,9.69132
275686.0,12.387
275731.0,18.2683
275747.0,19.8426
275764.0,20.4198
275782.0,19.6972
275807.0,16.9593
275850.0,11.4004
275874.0,8.98777
275897.0,7.3297
275922.0,5.96349
275948.0,4.98968
275981.0,4.11648
276013.0,3.52936
276054.0,3.05512
276106.0,2.67015
276175.0,2.36939
276282.0,2.13168
276365.0,2.04006
276582.0,1.96185
276632.0,1.96067
277000.0,2.02516
277350.0,2.01609
278000.0,2.03431
280690.0,1.87824
286987.0,1.65793
287282.0,1.70874
287355.0,1.79219
287374.0,1.87423
287386.0,1.98098
287393.0,2.11535
287402.0,2.38162
287408.0,2.75324
287415.0,3.32408
287422.0,4.19565
287434.0,6.15435
287444.0,7.50123
287451.0,8.13013
287454.0,8.19703
287461.0,7.94941
287468.0,7.06528
287486.0,4.27088
287493.0,3.36336
287500.0,2.76823
287508.0,2.37507
287517.0,2.11317
287530.0,1.93845
287552.0,1.83276
287602.0,1.76144
287754.0,1.73501
288000.0,1.74628
289191.0,1.64026
295655.0,1.49879
296670.0,1.45208
297000.0,1.48464
297131.0,1.46512
297279.0,1.50124
297389.0,1.62502
297449.0,1.76295
297507.0,1.98314
297553.0,2.26247
297593.0,2.63139
297629.0,3.11396
297661.0,3.7487
297691.0,4.60109
297719.0,5.72971
297745.0,7.24506
297770.0,9.21214
297803.0,12.5946
297839.0,16.6902
297858.0,17.9571
297871.0,18.2361
297884.0,17.9553
297908.0,16.1676
297964.0,9.97343
297990.0,7.76901
298014.0,6.24101
298042.0,4.98668
298072.0,4.037
298104.0,3.32734
298142.0,2.75753
298183.0,2.3514
298229.0,2.04182
298275.0,1.83578
298321.0,1.69637
298399.0,1.55397
